time_s,ax,ay,az,gx,gy,gz,qx,qy,qz,qw
16.536,2.1836,23.1758,0.5352,2.9355,0.4004,-4.8359,0.7206,-0.1926,0.0787,0.6614
16.557,-0.5352,24.6641,3.6016,3.7090,-1.9707,-5.0996,0.7817,-0.1033,0.0140,0.6148
16.577,3.2578,24.8203,0.7656,3.8477,-3.4883,-4.5488,0.7817,-0.1033,0.0140,0.6148
16.597,7.9688,27.6953,0.3828,4.6055,-4.1406,-5.0137,0.7817,-0.1033,0.0140,0.6148
16.619,7.0469,18.1562,3.5625,3.6191,-6.0957,-4.1875,0.8430,-0.0497,-0.1082,0.5245
16.638,3.5625,19.8867,-0.7656,3.3164,-8.0801,-4.7695,0.8430,-0.0497,-0.1082,0.5245
16.659,10.3047,17.0469,-1.9141,1.8457,-6.8281,-3.9941,0.8570,-0.0450,-0.2959,0.4196
16.679,7.0117,16.3242,-2.6055,1.2031,-5.6602,-4.0215,0.8570,-0.0450,-0.2959,0.4196
16.700,5.7070,14.3984,-1.3398,1.6914,-3.0176,-4.4414,0.8570,-0.0450,-0.2959,0.4196
16.721,-1.4922,12.1836,-1.6836,0.8086,-3.1094,-4.5957,0.8570,-0.0450,-0.2959,0.4196
16.741,-0.4609,9.4219,1.3398,0.8613,-1.7812,-3.5000,0.8570,-0.0450,-0.2959,0.4196
16.762,-4.2539,11.8359,3.8320,0.3223,-1.7363,-3.8027,0.8011,0.0248,-0.5359,0.2651
16.783,-5.0938,9.5430,3.5234,0.1113,-1.9844,-3.8184,0.8011,0.0248,-0.5359,0.2651
16.804,-11.4531,9.3477,4.1758,-0.1992,-4.8887,-3.4180,0.8011,0.0248,-0.5359,0.2651
16.824,-8.1211,11.1484,7.0469,-1.4355,-5.8359,-2.1504,0.7639,0.0818,-0.6039,0.2123
16.843,-2.7188,12.2617,8.0820,-2.2598,-4.3086,-1.7578,0.7639,0.0818,-0.6039,0.2123
16.867,-2.1836,11.9883,10.7266,-3.4082,-2.2734,-1.3770,0.6682,0.1215,-0.7014,0.2165
16.885,-4.1367,11.1914,10.6875,-4.1406,-1.4141,-1.3652,0.6682,0.1215,-0.7014,0.2165
16.905,-4.9805,9.9609,10.4922,-4.6934,-1.3008,-1.1758,0.6682,0.1215,-0.7014,0.2165
16.926,-4.9023,9.7695,10.7969,-5.2832,-1.6465,-0.9453,0.6074,0.2034,-0.7222,0.2611
16.947,-4.8633,9.6914,10.0039,-5.8750,-2.3262,-0.6465,0.6074,0.2034,-0.7222,0.2611
16.967,-3.8672,9.4219,8.8477,-6.3730,-2.7402,-0.3281,0.5291,0.2993,-0.7204,0.3339
16.987,-2.7969,8.9609,6.7422,-6.6719,-2.9590,0.1055,0.5291,0.2993,-0.7204,0.3339
17.008,-1.4570,8.4609,4.9414,-6.9570,-2.7520,0.5586,0.5291,0.2993,-0.7204,0.3339
17.028,0.1133,7.6250,2.3359,-7.2754,-2.3867,1.0586,0.5291,0.2993,-0.7204,0.3339
17.049,-0.0391,7.1641,0.5742,-7.4766,-2.1289,1.6348,0.5291,0.2993,-0.7204,0.3339
17.069,-0.5742,6.6250,-1.1875,-7.4180,-2.1875,2.2207,0.3005,0.4713,-0.6241,0.5460
17.090,-1.3008,5.8242,-2.6055,-7.2676,-2.3145,2.8027,0.3005,0.4713,-0.6241,0.5460
17.111,-2.8711,5.7852,-4.4805,-6.9297,-2.8262,3.5371,0.3005,0.4713,-0.6241,0.5460
17.131,-3.6406,5.7461,-5.0938,-6.2500,-3.4766,4.2852,0.1909,0.5228,-0.5066,0.6584
17.152,-3.4844,5.4375,-4.7109,-5.4766,-3.9551,5.0098,0.1909,0.5228,-0.5066,0.6584
17.172,-2.5664,5.7070,-3.9844,-4.6699,-3.8926,5.6660,0.1031,0.5096,-0.3616,0.7739
17.192,-1.4922,7.2344,-3.3320,-3.7910,-3.5723,6.1387,0.1031,0.5096,-0.3616,0.7739
17.213,-1.1484,6.9297,-2.4531,-2.9570,-3.0332,6.4648,0.1031,0.5096,-0.3616,0.7739
17.234,-0.3828,6.2422,-1.9922,-2.2324,-2.3047,6.6602,0.0667,0.4521,-0.1974,0.8672
17.256,-0.7656,5.3242,-5.4766,-1.1191,-1.5352,6.3945,0.0667,0.4521,-0.1974,0.8672
17.276,0.1914,4.7891,-5.9414,-0.0078,-0.8027,5.9336,0.0860,0.3993,-0.0366,0.9120
17.296,2.4883,5.1328,-5.3984,0.7559,0.0215,5.7168,0.0860,0.3993,-0.0366,0.9120
17.316,2.8359,5.5156,-5.3633,1.2070,1.3418,5.3184,0.0860,0.3993,-0.0366,0.9120
17.336,-14.0195,8.5820,6.0508,0.1328,1.5234,3.1367,0.1520,0.3802,0.0906,0.9078
17.357,-11.5703,22.8672,21.3359,-0.4609,0.6113,4.0820,0.1520,0.3802,0.0906,0.9078
17.378,-26.9336,9.5391,21.0312,-1.6035,-1.2930,1.3672,0.1878,0.3943,0.1778,0.8818
17.398,-21.4531,22.7109,19.1523,-1.6387,-3.5020,0.5293,0.1878,0.3943,0.1778,0.8818
17.419,-18.6992,6.3594,14.9414,-2.6895,-5.1309,0.4473,0.1878,0.3943,0.1778,0.8818
17.440,-18.3867,12.5664,7.8516,-2.7695,-5.3242,-0.8633,0.1730,0.3184,0.2058,0.9091
17.459,-13.5977,7.1250,7.0859,-2.3105,-5.0312,-0.6504,0.1730,0.3184,0.2058,0.9091
17.480,-10.4180,9.3867,12.4062,-1.6348,-4.9414,-0.8672,0.1357,0.1885,0.1896,0.9540
17.501,-1.2656,4.0977,10.2305,-1.6738,-3.4648,-1.0039,0.1357,0.1885,0.1896,0.9540
17.521,-5.7852,9.7305,14.8242,-1.0820,-2.8047,-0.5000,0.1357,0.1885,0.1896,0.9540
17.542,-3.2578,5.8242,12.8320,-1.1855,-2.3848,-0.7695,0.1132,0.0896,0.1633,0.9760
17.565,-2.7578,5.1719,10.3867,-1.1465,-2.5840,-0.5547,0.1132,0.0896,0.1633,0.9760
17.583,-1.7227,4.3281,10.3867,-1.1816,-2.9531,-0.3145,0.0918,0.0240,0.1436,0.9851
17.603,-1.5703,4.0625,10.0703,-1.1074,-3.1113,-0.2676,0.0918,0.0240,0.1436,0.9851
17.624,-1.1875,3.1406,9.6484,-0.9980,-3.3027,0.0195,0.0918,0.0240,0.1436,0.9851
17.645,1.6836,2.7969,10.1133,-0.9082,-2.9863,0.1035,0.0918,0.0240,0.1436,0.9851
17.666,2.4883,2.2617,10.0703,-0.9258,-2.6035,0.2070,0.0918,0.0240,0.1436,0.9851
17.685,2.5664,2.1445,9.6875,-0.8945,-2.1582,0.1680,0.0591,-0.1296,0.1260,0.9818
17.705,2.6445,1.1875,9.3086,-0.9648,-1.9258,0.2461,0.0591,-0.1296,0.1260,0.9818
17.726,4.2891,2.0312,7.7383,-0.8828,-1.3223,0.2031,0.0591,-0.1296,0.1260,0.9818
17.746,4.0625,2.1445,7.6289,-0.7930,-0.6562,0.2520,0.0414,-0.1795,0.1252,0.9749
17.767,3.4102,1.8398,7.8125,-0.6953,-0.4922,0.1699,0.0414,-0.1795,0.1252,0.9749
17.788,3.2578,2.0312,8.0430,-0.5469,-0.5879,0.3477,0.0237,-0.1993,0.1262,0.9715
17.809,2.9102,0.9180,7.6602,-0.5176,-0.6953,0.4434,0.0237,-0.1993,0.1262,0.9715
17.829,2.6797,0.7266,7.4727,-0.4941,-0.6738,0.3770,0.0237,-0.1993,0.1262,0.9715
17.849,3.7539,0.9570,7.0508,-0.3965,-0.2539,0.3477,0.0105,-0.2164,0.1323,0.9672
17.870,3.6758,0.4609,6.7070,-0.2832,0.3828,-0.0918,0.0105,-0.2164,0.1323,0.9672
17.890,2.0312,1.2656,7.0469,-0.0684,0.8457,-0.4316,0.0007,-0.2193,0.1345,0.9664
17.911,2.0703,0.5352,7.0469,0.1328,0.8828,-0.5664,0.0007,-0.2193,0.1345,0.9664
17.932,1.6836,0.0391,7.0078,0.3398,1.0859,-0.5781,0.0007,-0.2193,0.1345,0.9664
17.954,1.5312,-0.0781,8.1992,0.3926,1.0840,-0.5430,0.0007,-0.2193,0.1345,0.9664
17.972,1.1094,0.4609,8.1992,0.5742,1.7559,-0.9199,0.0007,-0.2193,0.1345,0.9664
17.993,0.8047,0.8438,8.1992,0.6777,2.7305,-1.3594,0.0125,-0.1626,0.1078,0.9807
18.014,-0.3438,1.4570,7.8164,0.8008,3.7266,-1.3926,0.0125,-0.1626,0.1078,0.9807
18.034,-0.8828,1.9531,6.8516,1.1309,4.4629,-1.4434,0.0125,-0.1626,0.1078,0.9807
18.054,-2.4531,2.4883,6.4023,1.5078,4.4121,-1.4043,0.0288,-0.0745,0.0777,0.9938
18.075,-5.5156,2.9883,7.3164,1.7266,3.5859,-1.2773,0.0288,-0.0745,0.0777,0.9938
18.096,-4.5195,4.2891,7.2734,2.0371,3.0684,-0.9160,0.0612,0.0309,0.0494,0.9964
18.116,-5.1719,4.9023,6.5078,2.2461,2.7793,-0.7969,0.0612,0.0309,0.0494,0.9964
18.138,-4.3281,6.1289,5.6328,2.5156,1.9980,-0.7148,0.0612,0.0309,0.0494,0.9964
18.159,-2.5273,6.3984,4.7500,2.8613,1.6074,-0.2930,0.1115,0.1029,0.0304,0.9880
18.178,-2.7969,6.9336,3.7930,3.0469,1.3750,-0.1152,0.1115,0.1029,0.0304,0.9880
18.199,-1.1484,7.2734,3.0273,3.1875,1.3262,0.2070,0.1807,0.1449,0.0195,0.9726
18.220,-0.9570,10.1523,2.0312,3.6777,0.8359,0.6328,0.1807,0.1449,0.0195,0.9726
18.239,0.1523,11.6406,1.3008,3.9141,0.3828,1.2070,0.1807,0.1449,0.0195,0.9726
18.260,0.8828,12.1445,1.1875,3.8965,-0.6562,1.6523,0.2665,0.1659,0.0237,0.9492
18.280,-0.5742,12.1445,0.6914,3.9414,-1.4238,1.8359,0.2665,0.1659,0.0237,0.9492
18.302,2.4531,13.1445,-1.3008,4.1250,-2.8301,2.6914,0.3654,0.1382,0.0402,0.9197
18.321,7.6992,14.1719,-2.2969,3.8477,-3.1094,3.2754,0.3654,0.1382,0.0402,0.9197
18.362,12.1445,21.4922,-1.3398,3.3848,-3.8320,3.7051,0.4634,0.0440,0.0668,0.8825
18.383,15.9727,21.9453,1.1484,3.1953,-3.9863,3.9570,0.4634,0.0440,0.0668,0.8825
18.404,13.7891,21.4141,1.2656,3.2441,-3.8379,3.9961,0.5425,-0.0809,0.0996,0.8302
18.424,11.7969,20.5742,2.0312,2.6934,-2.5176,3.3242,0.5425,-0.0809,0.0996,0.8302
18.444,7.2773,18.5391,1.4180,2.5391,-1.7676,2.1055,0.5425,-0.0809,0.0996,0.8302
18.465,5.4023,19.5352,-0.4219,2.9863,-1.2598,0.6387,0.5973,-0.1768,0.1349,0.7706
18.486,2.9102,18.7695,-1.2266,3.6836,-1.2617,-0.4336,0.5973,-0.1768,0.1349,0.7706
18.506,-0.9570,15.0547,0.7266,3.7500,-1.2344,-2.5547,0.6606,-0.1982,0.1361,0.7112
18.527,-1.0742,14.0938,1.8789,3.2422,-0.4336,-4.3711,0.6606,-0.1982,0.1361,0.7112
18.547,-4.8633,16.3906,2.8359,3.1191,-0.5273,-6.4043,0.6606,-0.1982,0.1361,0.7112
18.568,0.4219,18.8867,2.3750,3.0781,-2.2578,-4.6172,0.7374,-0.1308,0.0682,0.6592
18.588,0.9961,28.1953,1.8008,3.9824,-3.8750,-4.4785,0.7374,-0.1308,0.0682,0.6592
18.608,4.0234,26.0078,2.6445,3.7129,-3.5742,-4.5605,0.8060,-0.0763,-0.0489,0.5850
18.629,4.4805,23.4102,0.8047,3.7051,-3.9824,-4.8789,0.8060,-0.0763,-0.0489,0.5850
18.670,6.3984,17.8125,0.8047,2.4668,-6.9355,-4.1641,0.8514,-0.0438,-0.1935,0.4855
18.692,2.1836,18.8047,2.4883,1.7051,-5.9473,-4.3672,0.8514,-0.0438,-0.1935,0.4855
18.711,2.7578,16.4297,-1.7617,2.0332,-6.1133,-4.1738,0.8378,-0.0399,-0.3746,0.3951
18.734,6.3594,13.4844,0.6523,1.1016,-4.6543,-4.0020,0.8378,-0.0399,-0.3746,0.3951
18.752,-0.5742,10.4961,-1.7227,0.7480,-2.2891,-4.4512,0.8378,-0.0399,-0.3746,0.3951
18.774,-3.2578,9.2695,0.8438,0.9824,-2.3496,-4.0488,0.8027,-0.0214,-0.5113,0.3062
18.793,-4.0234,10.1133,3.7148,0.0117,-2.4707,-3.3301,0.8027,-0.0214,-0.5113,0.3062
18.814,-9.9219,9.6914,1.4570,0.1328,-3.3125,-3.8262,0.7739,0.0220,-0.5874,0.2358
18.834,-8.6602,8.0820,2.2969,-0.3984,-5.4336,-2.9238,0.7739,0.0220,-0.5874,0.2358
18.855,-6.5117,10.4531,4.7891,-1.4395,-6.3359,-2.1172,0.7739,0.0220,-0.5874,0.2358
18.876,-1.0742,11.1523,7.0469,-2.5352,-4.0273,-1.6035,0.6929,0.0577,-0.6921,0.1939
18.896,-2.4883,11.3008,12.1055,-3.4199,-2.4336,-1.2949,0.6929,0.0577,-0.6921,0.1939
18.916,-5.8242,10.4570,13.7539,-4.1602,-2.0840,-0.9629,0.6075,0.1137,-0.7563,0.2145
18.937,-3.7148,9.7695,11.5312,-4.7754,-2.5098,-0.6328,0.6075,0.1137,-0.7563,0.2145
18.958,-6.6641,9.7305,10.9961,-5.2500,-3.1875,-0.2637,0.6075,0.1137,-0.7563,0.2145
18.978,-3.0664,9.6523,10.1133,-5.7695,-3.0508,0.1934,0.5303,0.1949,-0.7783,0.2739
18.999,-1.9922,10.0312,9.7695,-6.3633,-2.6270,0.5293,0.5303,0.1949,-0.7783,0.2739
19.019,-1.4570,9.8477,8.9648,-6.8965,-2.2676,0.8926,0.4289,0.2837,-0.7762,0.3649
19.041,-0.3828,9.2266,5.4414,-7.1797,-2.0684,1.3145,0.4289,0.2837,-0.7762,0.3649
19.060,-0.2305,8.5039,3.3320,-7.3398,-1.7852,1.6797,0.4289,0.2837,-0.7762,0.3649
19.082,-0.8438,7.5469,1.4180,-7.3691,-1.7676,2.0195,0.3251,0.3840,-0.7241,0.4717
19.101,-1.6094,6.6641,-0.3438,-7.2129,-2.1445,2.5312,0.3251,0.3840,-0.7241,0.4717
19.122,-2.2227,5.2852,-2.5664,-6.9297,-2.7402,3.1504,0.2188,0.4684,-0.6287,0.5810
19.142,-2.6445,4.8281,-3.6016,-6.4316,-3.3828,3.9121,0.2188,0.4684,-0.6287,0.5810
19.164,-2.4531,4.5977,-3.9844,-5.7090,-3.7031,4.6621,0.2188,0.4684,-0.6287,0.5810
19.184,-1.7617,4.7148,-3.6016,-5.0234,-3.5703,5.2441,0.1143,0.4952,-0.5009,0.7006
19.204,-1.4570,6.3203,-2.5664,-4.3184,-3.2188,5.7480,0.1143,0.4952,-0.5009,0.7006
19.224,-1.2266,7.0508,-2.3750,-3.6172,-2.7949,6.1973,0.0490,0.4717,-0.3450,0.8100
19.245,-1.2266,6.7031,-2.3750,-2.9258,-2.2617,6.3984,0.0490,0.4717,-0.3450,0.8100
19.266,-1.3789,6.1641,-2.4531,-2.1641,-1.7734,6.3574,0.0490,0.4717,-0.3450,0.8100
19.287,-1.0742,6.6250,-3.1406,-1.3496,-1.3223,6.0273,0.0364,0.4351,-0.1747,0.8825
19.306,-1.9531,6.3984,-3.8672,-0.4375,-1.3066,5.7246,0.0364,0.4351,-0.1747,0.8825
19.327,-2.6445,5.9414,-5.2500,0.6016,-1.7031,5.6270,0.0680,0.3992,-0.0258,0.9139
19.348,-1.5312,5.2852,-6.3594,1.4375,-1.3105,5.5137,0.0680,0.3992,-0.0258,0.9139
19.368,4.2539,6.2812,-4.5586,1.7012,0.4043,4.8867,0.0680,0.3992,-0.0258,0.9139
19.389,-8.9258,10.0703,5.7461,0.4199,0.7910,2.2461,0.1425,0.3602,0.0884,0.9177
19.409,-15.0156,23.1719,22.0273,-0.0879,1.2578,4.6211,0.1425,0.3602,0.0884,0.9177
19.431,-15.8984,24.5195,11.6445,-0.1875,-0.0195,1.1055,0.1796,0.3677,0.1697,0.8965
19.450,-13.0625,21.6406,17.0469,-0.5703,-2.5332,1.5801,0.1796,0.3677,0.1697,0.8965
19.470,-14.9414,9.9219,16.9336,-2.2656,-3.5078,-0.3301,0.1796,0.3677,0.1697,0.8965
19.491,-17.0898,13.9805,12.9844,-2.0059,-3.5938,-0.7168,0.1749,0.3212,0.1946,0.9102
19.514,-5.0195,6.8555,7.7734,-1.6816,-4.5723,-0.6055,0.1749,0.3212,0.1946,0.9102
19.532,0.0781,4.7500,7.8164,-1.4082,-3.2129,-1.5195,0.1419,0.2247,0.1769,0.9476
19.552,-10.1523,6.5898,12.5664,-1.0508,-3.5430,-0.6113,0.1419,0.2247,0.1769,0.9476
19.574,-7.4297,6.8945,15.4023,-1.0449,-3.3926,-0.7168,0.1419,0.2247,0.1769,0.9476
19.594,-4.5977,5.4023,13.1758,-1.2402,-2.8477,-0.4570,0.1419,0.2247,0.1769,0.9476
19.614,-5.5156,5.7461,12.0234,-1.2207,-3.8242,-0.2910,0.1419,0.2247,0.1769,0.9476
19.634,-3.6016,4.0234,10.9961,-1.1562,-4.4297,-0.3945,0.1020,0.0564,0.1345,0.9841
19.656,-1.5703,4.0234,10.1094,-1.1523,-4.1543,-0.2793,0.1020,0.0564,0.1345,0.9841
19.676,0.6914,3.4492,10.3438,-1.0117,-3.9941,0.1094,0.1020,0.0564,0.1345,0.9841
19.696,1.0742,2.8711,10.8008,-1.0000,-3.6758,0.4473,0.0870,-0.0507,0.1189,0.9878
19.717,2.4531,2.0703,10.4180,-0.9668,-3.0430,0.3867,0.0870,-0.0507,0.1189,0.9878
19.739,3.1797,1.2656,9.7266,-0.9219,-2.3789,0.2383,0.0712,-0.1398,0.1185,0.9805
19.758,3.4844,1.2656,9.4258,-0.9258,-2.0254,0.1309,0.0712,-0.1398,0.1185,0.9805
19.779,3.5625,2.0312,9.1211,-0.8926,-1.8047,0.1387,0.0712,-0.1398,0.1185,0.9805
19.800,3.9062,2.1445,8.5781,-0.8477,-1.5488,0.2207,0.0540,-0.1950,0.1157,0.9725
19.822,4.2539,1.9141,8.1602,-0.7578,-1.2188,0.4199,0.0540,-0.1950,0.1157,0.9725
19.840,4.6719,2.0703,7.9336,-0.6973,-1.0410,0.4492,0.0364,-0.2331,0.1166,0.9648
19.861,4.8633,1.6484,7.9688,-0.6465,-0.7441,0.4570,0.0364,-0.2331,0.1166,0.9648
19.881,4.7500,1.5312,8.1562,-0.7012,-0.3926,0.4551,0.0364,-0.2331,0.1166,0.9648
19.902,4.7891,1.0742,8.0781,-0.7559,-0.1641,0.3828,0.0364,-0.2331,0.1166,0.9648
19.922,4.3672,0.7266,7.3164,-0.6660,0.1602,0.3262,0.0364,-0.2331,0.1166,0.9648
19.942,3.2188,0.4219,7.0469,-0.5957,0.2383,0.1504,-0.0001,-0.2591,0.1270,0.9575
19.964,3.2578,0.8438,6.9688,-0.4727,0.2148,0.1191,-0.0001,-0.2591,0.1270,0.9575
19.985,2.6055,0.6523,6.8906,-0.2578,-0.1191,0.0156,-0.0001,-0.2591,0.1270,0.9575
20.004,3.0273,-0.1914,6.8906,-0.1523,-0.1992,-0.1543,-0.0130,-0.2567,0.1268,0.9581
20.024,3.1797,-1.3398,7.2070,-0.0078,0.2988,-0.3652,-0.0130,-0.2567,0.1268,0.9581
20.045,2.8711,-1.5703,7.1641,0.0859,1.0762,-0.7266,-0.0148,-0.2560,0.1188,0.9592
20.066,2.5664,-0.2695,7.9297,0.2070,1.9863,-0.9980,-0.0148,-0.2560,0.1188,0.9592
20.087,2.1055,0.2695,8.1602,0.3105,2.4180,-1.1074,-0.0148,-0.2560,0.1188,0.9592
20.107,2.3359,0.3438,8.0391,0.3750,3.0430,-1.3008,-0.0103,-0.2148,0.0949,0.9720
20.129,0.9180,1.0352,7.4727,0.5859,3.8594,-1.5977,-0.0103,-0.2148,0.0949,0.9720
20.149,-0.2695,1.8789,7.0469,0.8398,4.2070,-1.6777,0.0001,-0.1351,0.0599,0.9890
20.168,-0.6914,2.8359,5.7461,1.3926,4.0117,-1.2773,0.0001,-0.1351,0.0599,0.9890
20.189,-2.0703,1.9141,5.5977,1.6406,3.8223,-1.0723,0.0001,-0.1351,0.0599,0.9890
20.210,-3.7148,3.1797,5.4414,1.9551,2.9199,-0.8164,0.0001,-0.1351,0.0599,0.9890
20.230,-4.0234,3.1406,4.7891,2.3066,2.4766,-0.3926,0.0001,-0.1351,0.0599,0.9890
20.250,-2.3359,4.2930,4.1758,2.6309,2.7012,-0.4453,0.0795,0.0420,0.0084,0.9959
20.271,-2.7188,5.2148,4.4062,2.6992,2.4883,-0.3477,0.0795,0.0420,0.0084,0.9959
20.291,-1.9531,8.7344,4.2891,3.0391,1.5078,0.2129,0.0795,0.0420,0.0084,0.9959
20.312,-1.8008,9.6094,2.8711,3.3223,0.2910,0.9102,0.1454,0.1021,0.0029,0.9841
20.333,-0.8828,9.6875,1.9922,3.7227,-0.6621,1.3340,0.1454,0.1021,0.0029,0.9841
20.353,0.0000,9.9258,2.0312,3.8516,-1.4531,1.7227,0.2325,0.1010,0.0173,0.9672
20.373,4.3672,13.0664,-0.2305,3.9082,-2.0215,2.0312,0.2325,0.1010,0.0173,0.9672
20.394,6.9336,12.5234,-1.7227,4.0566,-1.8555,2.4160,0.2325,0.1010,0.0173,0.9672
20.415,9.0781,13.7930,-2.9102,3.9629,-2.6113,3.0859,0.3303,0.0484,0.0437,0.9417
20.436,9.1172,17.8516,-2.4883,3.9551,-3.3438,3.4980,0.3303,0.0484,0.0437,0.9417
20.456,17.5430,21.8359,-0.1133,3.5723,-3.6074,3.8809,0.4271,-0.0375,0.0875,0.8992
20.476,18.8867,22.0273,1.8398,3.6680,-3.6230,3.7852,0.4271,-0.0375,0.0875,0.8992
20.496,17.2383,23.2109,3.3320,3.8398,-2.9961,3.7324,0.4271,-0.0375,0.0875,0.8992
20.520,12.5664,19.8477,3.9453,3.8086,-2.3457,2.9160,0.5078,-0.1458,0.1383,0.8378
20.538,8.1602,19.0781,2.9883,3.2188,-2.3242,2.0762,0.5078,-0.1458,0.1383,0.8378
20.558,3.0273,17.5430,1.2656,3.8984,-1.6758,-0.6074,0.5792,-0.2149,0.1746,0.7667
20.579,-2.0703,13.9062,-1.2656,2.8770,-1.5332,-2.5566,0.5792,-0.2149,0.1746,0.7667
20.620,1.4180,15.9023,3.2188,1.6230,-0.8945,-5.1777,0.6545,-0.1989,0.1325,0.7173
20.640,-0.5352,22.8711,5.5938,3.4668,-2.0176,-4.8203,0.6545,-0.1989,0.1325,0.7173
20.661,3.2578,25.9688,5.4766,3.4121,-4.0488,-4.1094,0.7226,-0.1344,0.0362,0.6771
20.681,1.5312,27.9258,1.6484,4.3379,-3.8926,-5.0449,0.7226,-0.1344,0.0362,0.6771
20.702,4.2148,22.9844,0.6133,3.5020,-4.3809,-5.1777,0.7226,-0.1344,0.0362,0.6771
20.722,4.9414,22.4453,1.1094,4.2539,-5.0996,-5.3340,0.7931,-0.1118,-0.1035,0.5897
20.743,6.0898,17.0117,-0.1914,2.6973,-7.0137,-4.5645,0.7931,-0.1118,-0.1035,0.5897
20.764,6.5117,20.9922,0.4961,2.3066,-4.9531,-5.2031,0.8265,-0.0992,-0.2774,0.4797
20.784,7.1250,18.4648,-1.8008,2.3828,-5.6055,-5.1191,0.8265,-0.0992,-0.2774,0.4797
20.804,8.0430,17.5391,2.1445,2.6504,-4.5938,-4.5781,0.8265,-0.0992,-0.2774,0.4797
20.825,-0.1133,16.9727,-0.5742,1.4922,-5.0156,-4.7461,0.8169,-0.0715,-0.4319,0.3756
20.846,-0.2695,15.5859,-1.4570,0.6797,-2.7715,-5.1250,0.8169,-0.0715,-0.4319,0.3756
20.866,-1.5312,15.0156,1.9531,0.5488,-2.0117,-3.4160,0.7849,-0.0266,-0.5513,0.2818
20.886,-5.4023,12.4102,4.7109,-0.1816,-2.4980,-3.8438,0.7849,-0.0266,-0.5513,0.2818
20.929,-5.0547,13.2539,7.1641,-1.6836,-5.2109,-2.7871,0.7458,0.0270,-0.6261,0.2261
20.948,-3.8320,13.5234,7.6992,-2.9199,-5.1934,-2.3379,0.7458,0.0270,-0.6261,0.2261
20.969,-0.7266,13.7500,9.3086,-3.7227,-4.0430,-2.0703,0.6448,0.0844,-0.7268,0.2209
20.990,-2.1836,11.1875,11.3750,-4.5723,-3.5234,-1.6680,0.6448,0.0844,-0.7268,0.2209
21.011,-1.4922,10.6523,9.7305,-5.1270,-3.2871,-1.1348,0.6448,0.0844,-0.7268,0.2209
21.031,-0.2305,9.8438,8.8477,-5.5762,-3.0430,-0.6309,0.5443,0.1702,-0.7784,0.2623
21.051,1.4180,10.2266,9.4609,-6.1152,-2.3262,-0.1211,0.5443,0.1702,-0.7784,0.2623
21.071,0.9180,8.8867,7.0117,-6.5488,-1.8906,0.3242,0.4440,0.2692,-0.7851,0.3377
21.093,0.7656,8.2734,5.4023,-6.7773,-1.5215,0.7441,0.4440,0.2692,-0.7851,0.3377
21.113,0.6523,7.3164,3.6406,-6.8496,-1.2793,1.1641,0.4440,0.2692,-0.7851,0.3377
21.133,0.2305,6.6641,2.6055,-6.9375,-1.3613,1.6094,0.3540,0.3760,-0.7408,0.4294
21.154,-0.6133,7.0859,0.3047,-6.9805,-1.5645,2.1055,0.3540,0.3760,-0.7408,0.4294
21.174,-0.9961,7.2070,-1.1875,-6.8730,-1.9082,2.6641,0.2657,0.4662,-0.6585,0.5277
21.195,-1.3398,6.7422,-2.3750,-6.6582,-1.9766,3.2305,0.2657,0.4662,-0.6585,0.5277
21.215,-1.3008,6.4023,-2.8359,-6.4570,-1.9844,3.7480,0.2657,0.4662,-0.6585,0.5277
21.237,-2.0703,7.3906,-2.7969,-6.2344,-2.1035,4.3926,0.1778,0.5219,-0.5416,0.6346
21.256,-2.6445,8.2773,-3.2188,-5.8691,-2.2930,4.9844,0.1778,0.5219,-0.5416,0.6346
21.276,-3.1016,8.6211,-3.7148,-5.2520,-2.2207,5.4453,0.1080,0.5408,-0.3893,0.7378
21.298,-3.4492,6.7852,-2.7969,-4.5000,-2.1738,5.8301,0.1080,0.5408,-0.3893,0.7378
21.318,-3.2188,6.2031,-1.8789,-3.6914,-2.0469,6.1094,0.1080,0.5408,-0.3893,0.7378
21.338,-1.7617,6.2422,-2.1836,-3.0039,-1.1914,6.2031,0.0762,0.5214,-0.2200,0.8210
21.359,-1.9141,5.9805,-3.6406,-2.2344,-0.5664,6.1836,0.0762,0.5214,-0.2200,0.8210
21.382,-4.1758,4.0625,-5.8594,-1.2285,-1.0469,6.1113,0.0905,0.4960,-0.0587,0.8616
21.399,-2.6445,3.2930,-6.0898,-0.3145,-1.6797,5.9902,0.0905,0.4960,-0.0587,0.8616
21.421,-0.8828,2.4531,-5.9414,0.3984,-1.2773,5.6113,0.0905,0.4960,-0.0587,0.8616
21.441,0.7266,3.0273,-4.2148,-0.0078,-0.0254,4.4238,0.1500,0.4485,0.0758,0.8779
21.461,-22.2617,15.6289,18.3867,-0.9258,-1.1328,4.6055,0.1500,0.4485,0.0758,0.8779
21.482,-12.2188,16.4688,13.2539,-1.7520,-0.5293,0.7578,0.1927,0.4171,0.1749,0.8708
21.502,-8.7344,18.4648,10.4961,-1.3398,-1.7754,1.4004,0.1927,0.4171,0.1749,0.8708
21.523,-13.7109,11.3398,12.4883,-1.7871,-2.8828,-0.2324,0.1927,0.4171,0.1749,0.8708
21.544,-20.2305,13.5977,12.8711,-1.8809,-2.3516,-1.5820,0.1927,0.4171,0.1749,0.8708
21.565,-15.1641,6.6641,10.8789,-1.9277,-3.6621,-1.2832,0.1927,0.4171,0.1749,0.8708
